model,N,Za,Zb,C,disruptor_count,disruptor_fraction,t,h,qa,qb,nr_states,nr_transitions,build_time,check_time,total_time,reach_a,reach_b,reach_consensus,reach_a_first,reach_b_first,reach_robust95_a,reach_robust95_b,reach_robust99_a,reach_robust99_b,exp_consensus_time,status,error
crossinh_zealots,20,2,2,0,4,0.2,35,40,1.05,0.95,153,544,0.025619257000471407,0.017809591000514047,0.043628368000099726,0.8236896412970033,0.6007003466096901,0.9999999998320993,0.561659686910287,0.43834031292181225,0.0,0.0,0.0,0.0,0.8942341169311205,ok,
crossinh_contrarians,20,0,0,4,4,0.2,35,40,1.05,0.95,765,4662,0.023846095999942918,0.027680378000695782,0.051648935999764944,0.9574032510242316,0.8592136187098515,0.9999999999950927,0.5226765796300434,0.4773234203650491,0.0,0.0,0.0,0.0,0.48557265852781895,ok,
voter_zealots,20,3,3,0,6,0.3,35,40,1.05,0.95,15,28,0.015898601999651873,0.015357301000221923,0.031361921000097936,0.999992635456983,0.99937563770987,0.9999999999999997,0.525,0.47499999999999987,0.0,0.0,0.0,0.0,0.14285714285714285,ok,
voter_contrarians,20,0,0,6,6,0.3,35,40,1.05,0.95,105,512,0.016809579999971902,0.01360352400024567,0.030474761999357725,0.9999999896838353,0.9999998750623385,0.9999999999999996,0.5122340425531912,0.4877659574468089,0.0,0.0,0.0,0.0,0.10638297872340426,ok,
crossinh_zealots,20,3,3,0,6,0.3,35,40,1.05,0.95,120,420,0.017097046000344562,0.024540776000321785,0.04172020199985127,0.9123344374652684,0.6832727279496573,0.9999999999469409,0.559660360272473,0.4403396396744677,0.0,0.0,0.0,0.0,0.9040038446715543,ok,
crossinh_contrarians,20,0,0,6,6,0.3,35,40,1.05,0.95,840,5344,0.02409361700028967,0.03574866700000712,0.05994758999986516,0.9945608989373387,0.9798092124287027,0.9999999999999892,0.510105066655079,0.4898949333449107,0.0,0.0,0.0,0.0,0.3752054257355146,ok,
voter_zealots,20,4,4,0,8,0.4,35,40,1.05,0.95,13,24,0.017935834999661893,0.013032515999839234,0.03103590200043982,0.9999989548474346,0.9998893756244358,1.0000000000000013,0.5249999999999998,0.475,0.0,0.0,0.0,0.0,0.16666666666666666,ok,
voter_contrarians,20,0,0,8,8,0.4,35,40,1.05,0.95,117,588,0.017640647000007448,0.021684739999727753,0.039414658999703533,0.9999999996480389,0.9999999989467381,0.9999999999999999,0.5083333333333333,0.4916666666666666,0.0,0.0,0.0,0.0,0.1111111111111111,ok,
crossinh_zealots,20,4,4,0,8,0.4,35,40,1.05,0.95,91,312,0.018038255999272224,0.026375741000265407,0.044490348999715934,0.9695872387582986,0.8072242476221094,0.999999999991447,0.5576054714519848,0.44239452853946265,0.0,0.0,0.0,0.0,0.9307917974239786,ok,
crossinh_contrarians,20,0,0,8,8,0.4,35,40,1.05,0.95,819,5282,0.023411567000039213,0.028984540000237757,0.052508951000163506,0.9996041938515112,0.9990022600388961,1.0000000000000002,0.5010347578135488,0.4989652421864511,0.0,0.0,0.0,0.0,0.30991234160973335,ok,
