model,N,Za,Zb,C,disruptor_count,disruptor_fraction,t,h,qa,qb,stable_a,stable_a_ci_lo,stable_a_ci_hi,stable_b,stable_b_ci_lo,stable_b_ci_hi,stable_consensus,stable_consensus_ci_lo,stable_consensus_ci_hi,reach_a,reach_a_ci_lo,reach_a_ci_hi,reach_b,reach_b_ci_lo,reach_b_ci_hi,reach_consensus,reach_consensus_ci_lo,reach_consensus_ci_hi,episodes,confidence,base_seed,config_seed,total_time,status,error
crossinh_zealots,20,3,3,0,6,0.3,35,40,1.05,0.95,0.31577777777777777,0.2982116434279429,0.33388635473683165,0.029333333333333333,0.023514790755134546,0.03653775461638835,0.3451111111111111,0.32709648880967607,0.3635818039778364,0.9071111111111111,0.8953577335924986,0.9176657493533796,0.6675555555555556,0.6492315295845356,0.685386213942316,1.0,0.9985277492512151,1.0,4500,0.99,0,5323477824443046216,6.781137798992859,ok,
crossinh_contrarians,20,0,0,6,6,0.3,35,40,1.05,0.95,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,0.9953333333333333,0.9918892573244192,0.9973188996004511,0.9802222222222222,0.9741261682631721,0.9849042611287726,1.0,0.9985277492512151,1.0,4500,0.99,0,6427319864568328531,12.509791015996598,ok,
voter_zealots,20,4,4,0,8,0.4,35,40,1.05,0.95,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,1.0,0.9985277492512151,1.0,1.0,0.9985277492512151,1.0,1.0,0.9985277492512151,1.0,4500,0.99,0,8675414786970160076,6.255274870993162,ok,
voter_contrarians,20,0,0,8,8,0.4,35,40,1.05,0.95,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,1.0,0.9985277492512151,1.0,1.0,0.9985277492512151,1.0,1.0,0.9985277492512151,1.0,4500,0.99,0,10775444357921108699,11.49762971099699,ok,
crossinh_zealots,20,4,4,0,8,0.4,35,40,1.05,0.95,0.03155555555555556,0.02550227628877217,0.038988170190533904,0.00022222222222222223,2.6090640811303424e-05,0.001889950218751958,0.03177777777777778,0.025701519379675068,0.03923271721040932,0.9753333333333334,0.9686410724333433,0.9806259745214786,0.8133333333333334,0.7979143149423406,0.8278297412550876,1.0,0.9985277492512151,1.0,4500,0.99,0,4399366198684860920,7.123975406000682,ok,
crossinh_contrarians,20,0,0,8,8,0.4,35,40,1.05,0.95,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,0.9995555555555555,0.9977269420250728,0.9999132270045857,0.9991111111111111,0.9970170815195558,0.9997355072885459,1.0,0.9985277492512151,1.0,4500,0.99,0,3546383078101150042,12.527790453998023,ok,
voter_zealots,20,5,5,0,10,0.5,35,40,1.05,0.95,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,1.0,0.9985277492512151,1.0,1.0,0.9985277492512151,1.0,1.0,0.9985277492512151,1.0,4500,0.99,0,3889926822555782205,5.29836363200593,ok,
voter_contrarians,20,0,0,10,10,0.5,35,40,1.05,0.95,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,1.0,0.9985277492512151,1.0,1.0,0.9985277492512151,1.0,1.0,0.9985277492512151,1.0,4500,0.99,0,16836831420637822368,11.115285879997828,ok,
crossinh_zealots,20,5,5,0,10,0.5,35,40,1.05,0.95,0.0022222222222222222,0.0010053394047882052,0.004904812451779917,0.0,0.0,0.0014722507487849438,0.0022222222222222222,0.0010053394047882052,0.004904812451779917,0.9906666666666667,0.9861846816869149,0.9937038829116109,0.9135555555555556,0.9021468368419417,0.9237465593165076,1.0,0.9985277492512151,1.0,4500,0.99,0,4214055381115339324,6.7511262180050835,ok,
crossinh_contrarians,20,0,0,10,10,0.5,35,40,1.05,0.95,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,1.0,0.9985277492512151,1.0,1.0,0.9985277492512151,1.0,1.0,0.9985277492512151,1.0,4500,0.99,0,17659005723052760706,12.267987901999732,ok,
voter_zealots,20,6,6,0,12,0.6,35,40,1.05,0.95,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,1.0,0.9985277492512151,1.0,1.0,0.9985277492512151,1.0,1.0,0.9985277492512151,1.0,4500,0.99,0,11598370664772407040,4.392227675001777,ok,
