model,N,Za,Zb,C,disruptor_count,disruptor_fraction,t,h,nr_states,nr_transitions,build_time,check_time,total_time,reach_a,reach_b,reach_consensus,reach_a_first,reach_b_first,reach_robust95_a,reach_robust95_b,reach_robust99_a,reach_robust99_b,exp_consensus_time,status,error
crossinh_zealots,50,5,5,0,10,0.2,35,40,861,3280,0.01990913200097566,0.03116372499971476,0.05117640699972981,0.8110489065508873,0.34978060338664296,0.9999891485111628,0.6857244548388002,0.31426469367236193,0.7804734611612342,0.0,0.7783554282123765,0.0,3.3193840116991615,ok,
crossinh_contrarians,50,0,0,10,10,0.2,35,40,9471,67818,0.06023733400070341,0.24630949499987764,0.30690301199865644,0.906064705713927,0.5823116046218626,0.9999931058597039,0.5850222454339244,0.41497086042577835,0.0,0.0,0.0,0.0,2.1178920638762406,ok,
voter_zealots,50,6,6,0,12,0.24,35,40,39,76,0.01724500199998147,0.016441871001006803,0.03374076299951412,0.9999599598984298,0.9765698485620516,0.9999999999999987,0.5757503628475326,0.42424963715246694,0.0,0.0,0.0,0.0,0.48821271009815004,ok,
voter_contrarians,50,0,0,12,12,0.24,35,40,507,2756,0.020154548999926192,0.025870023999232217,0.04611157299950719,0.9999985567135938,0.9998235023233194,0.9999999999999986,0.5391669640138658,0.46083303598613345,0.0,0.0,0.0,0.0,0.36964032728933166,ok,
crossinh_zealots,50,6,6,0,12,0.24,35,40,780,2964,0.019325834000483155,0.031716191000668914,0.05113786600122694,0.8406654903989605,0.3616829044868983,0.9999869922645733,0.6833239580952044,0.3166630341693698,0.7918969649171318,0.0,0.0,0.0,3.3113581573929425,ok,
crossinh_contrarians,50,0,0,12,12,0.24,35,40,10140,73324,0.06473128200013889,0.2838639940000576,0.3489645579993521,0.9431675500888195,0.6948634597544476,0.9999970092980907,0.5638033664921757,0.43619364280591544,0.0,0.0,0.0,0.0,1.780755902913685,ok,
voter_zealots,50,10,10,0,20,0.4,35,40,31,60,0.01763088600091578,0.0157351510006265,0.03345475000060105,0.9999916207075424,0.9947465652771055,0.9999999999999998,0.5771505504119873,0.42284944958801146,0.0,0.0,0.0,0.0,0.6434696115371792,ok,
voter_contrarians,50,0,0,20,20,0.4,35,40,651,3636,0.019693281999934698,0.02224105899949791,0.04201737599942135,0.9999999066296232,0.9999993241638641,0.9999999999999979,0.515008304678232,0.4849916953217657,0.0,0.0,0.0,0.0,0.3606260783820527,ok,
crossinh_zealots,50,10,10,0,20,0.4,35,40,496,1860,0.015468445999431424,0.012285737999263802,0.027902767000341555,0.9582265908379893,0.4965038260066078,0.999988991314152,0.6672225939505956,0.33276639736355634,0.0,0.0,0.0,0.0,3.169597496851071,ok,
crossinh_contrarians,50,0,0,20,20,0.4,35,40,10416,76388,0.0636768980002671,0.29603255500114756,0.3600826189995132,0.9949476711951701,0.9782967995794952,0.9999999995851704,0.5051146481170266,0.49488535146814533,0.0,0.0,0.0,0.0,0.7817132309755942,ok,
voter_zealots,50,13,13,0,26,0.52,35,40,25,48,0.014765795998755493,0.008840548000080162,0.023666659000809886,0.9999908842790999,0.9970022187766058,0.9999999999999978,0.5788327821373523,0.42116721786264616,0.0,0.0,0.0,0.0,0.844634326892183,ok,
voter_contrarians,50,0,0,26,26,0.52,35,40,675,3792,0.01721126499978709,0.029160822999983793,0.046460338999168016,0.9999999800092151,0.9999999891126051,1.000000000000001,0.49859425742481517,0.5014057425751856,0.0,0.0,0.0,0.0,0.346758637300063,ok,
crossinh_zealots,50,13,13,0,26,0.52,35,40,325,1200,0.01630846500120242,0.018686979999984032,0.03507984399948327,0.9839576215877566,0.6754474615201173,0.9999951118779169,0.6525091829705312,0.3474859289073857,0.0,0.0,0.0,0.0,3.0781068090421186,ok,
crossinh_contrarians,50,0,0,26,26,0.52,35,40,8775,64154,0.059319909998521325,0.21641554900088522,0.2760660799995094,0.9997556876059018,0.9996663451361495,1.0000000000000007,0.48492935232458706,0.5150706476754123,0.0,0.0,0.0,0.0,0.479517729621804,ok,
voter_zealots,50,15,15,0,30,0.6,35,40,21,40,0.016656951000186382,0.01082529599989357,0.027546593999431934,0.9999807723743751,0.9969121741839801,0.999999999999999,0.5805348828845817,0.41946511711541723,0.0,0.0,0.0,0.0,1.0664434570455323,ok,
voter_contrarians,50,0,0,30,30,0.6,35,40,651,3656,0.022902300999703584,0.035057863000474754,0.05804967800031591,0.9999999922146234,0.9999999992902177,1.0000000000000007,0.4888934813950787,0.5111065186049213,0.0,0.0,0.0,0.0,0.33539148618438597,ok,
crossinh_zealots,50,15,15,0,30,0.6,35,40,231,840,0.017452928001148393,0.024592231999122305,0.042135507999773836,0.9888889595899274,0.7660639323688734,0.9999960124185107,0.644718025111103,0.3552779873074087,0.0,0.0,0.0,0.0,3.1824004520776596,ok,
crossinh_contrarians,50,0,0,30,30,0.6,35,40,7161,51958,0.05292313099926105,0.1772759119994589,0.23049164499934705,0.9999861119927406,0.9999950667039404,1.0000000000000007,0.4771788090707317,0.5228211909292682,0.0,0.0,0.0,0.0,0.38945446830858016,ok,
voter_zealots,80,0,0,0,0,0.0,35,40,81,160,0.014770294999834732,0.009285166999688954,0.024116333001074963,0.9913659613399313,0.6643106701825945,1.0000000000000007,0.5987678647298953,0.40123213527010254,0.9124138438102227,0.012920816738363955,0.8149987876080845,0.012920816738363955,0.39569224546642306,ok,
voter_contrarians,80,0,0,0,0,0.0,35,40,81,160,0.014529865000440623,0.01566814699981478,0.030270999999629566,0.9913659613399313,0.6643106701825945,1.0000000000000007,0.5987678647298953,0.40123213527010254,0.9124138438102227,0.012920816738363955,0.8149987876080845,0.012920816738363955,0.39569224546642306,ok,
crossinh_zealots,80,0,0,0,0,0.0,35,40,3320,12642,0.0219096590008121,0.1361981480004033,0.15826502700110723,0.7770463572993047,0.239290391070388,0.9999929829386298,0.7631886388911419,0.23680434404748885,0.7745966774584702,0.22541861926537907,0.7745945587880576,0.2253856302333706,4.4883153143436765,ok,
crossinh_contrarians,80,0,0,0,0,0.0,35,40,3320,12642,0.022561200999916764,0.12403584700041392,0.1467660749985953,0.7770463572993047,0.239290391070388,0.9999929829386298,0.7631886388911419,0.23680434404748885,0.7745966774584702,0.22541861926537907,0.7745945587880576,0.2253856302333706,4.4883153143436765,ok,
voter_zealots,80,4,4,0,8,0.1,35,40,73,144,0.014635584000643576,0.008123772999169887,0.022815479000200867,0.9997540156510583,0.819824122726109,0.9999999999999977,0.5994378704565203,0.4005621295434775,0.0,0.0,0.0,0.0,0.4458411187155096,ok,
voter_contrarians,80,0,0,8,8,0.1,35,40,657,3468,0.019172461999914958,0.02772371599894541,0.046987342000647914,0.9999678812050738,0.9593364450417989,1.0,0.5801005017876081,0.4198994982123921,0.0,0.0,0.0,0.0,0.4059397642573631,ok,
crossinh_zealots,80,4,4,0,8,0.1,35,40,2701,10512,0.02758891899975424,0.11849387300026137,0.14625693899870384,0.8023274841260086,0.22900163606300808,0.9999568898780099,0.7748272079852144,0.2251296818927941,0.7986024540343037,0.20125103990003052,0.7985743354336989,0.20103133671366144,4.84842759104889,ok,
crossinh_contrarians,80,0,0,8,8,0.1,35,40,24309,174182,0.13296387999980652,1.383625698999822,1.5174699029994372,0.8017301046212663,0.2778904425325683,0.9998497978672816,0.7341958726963066,0.2656539251709755,0.7898660568720702,0.20611256817733994,0.7894157801750615,0.0,4.870814409035457,ok,
voter_zealots,80,8,8,0,16,0.2,35,40,65,128,0.014845882000372512,0.008215542999096215,0.023128438000640017,0.9999743433735218,0.9311282858332973,0.9999999999999992,0.6002796965555982,0.3997203034444008,0.0,0.0,0.0,0.0,0.5105058491261887,ok,
voter_contrarians,80,0,0,16,16,0.2,35,40,1105,6172,0.018778838000798714,0.040441926999847055,0.05931735900048807,0.9999979881607342,0.9983443663846635,0.9999999999999997,0.5598962025151548,0.4401037974848441,0.0,0.0,0.0,0.0,0.40974059061206036,ok,
crossinh_zealots,80,8,8,0,16,0.2,35,40,2145,8320,0.025930757999958587,0.07338153500131739,0.09943239200038079,0.8437529117269926,0.22510122419731993,0.9998344572783548,0.7824097823831517,0.21742467489520423,0.8357429595731396,0.157048604668739,0.834976217224381,0.0,5.180866908915919,ok,
