model,N,Za,Zb,C,disruptor_count,disruptor_fraction,t,h,qa,qb,simulation_horizon,stable_a_successes,stable_a,stable_a_ci_lo,stable_a_ci_hi,stable_b_successes,stable_b,stable_b_ci_lo,stable_b_ci_hi,stable_consensus_successes,stable_consensus,stable_consensus_ci_lo,stable_consensus_ci_hi,episodes,confidence,base_seed,config_seed,total_time,status,error
voter_zealots,100,0,0,0,0,0.0,35,0,1.05,0.95,115,4485,0.9966666666666667,0.9936061090319881,0.9982647885575522,2671,0.5935555555555555,0.5745711853293436,0.6122644513083282,4500,1.0,0.9985277492512151,1.0,4500,0.99,0,1658531121239343012,26.42055221198825,ok,
voter_zealots,100,0,0,0,0,0.0,35,5,1.05,0.95,115,4398,0.9773333333333334,0.9708765828913397,0.9823845750604872,431,0.09577777777777778,0.08506548300096026,0.10768030549327967,4492,0.9982222222222222,0.9957136886419883,0.9992637397230003,4500,0.99,0,1658531121239343012,26.42055221198825,ok,
voter_zealots,100,0,0,0,0,0.0,35,10,1.05,0.95,115,4364,0.9697777777777777,0.9624809738236793,0.9756913203616846,174,0.03866666666666667,0.03191705885683356,0.046774671167378684,4453,0.9895555555555555,0.9848679799478182,0.992801634096816,4500,0.99,0,1658531121239343012,26.42055221198825,ok,
voter_zealots,100,0,0,0,0,0.0,35,20,1.05,0.95,115,4317,0.9593333333333334,0.9510482639350245,0.9662658950437585,74,0.016444444444444446,0.012224925303410399,0.022087793642970067,4376,0.9724444444444444,0.9654295053754964,0.9780682701392072,4500,0.99,0,1658531121239343012,26.42055221198825,ok,
voter_zealots,100,0,0,0,0,0.0,35,30,1.05,0.95,115,4293,0.954,0.9452659293793909,0.9613972669407124,38,0.008444444444444444,0.005583296190728717,0.012752978767632301,4331,0.9624444444444444,0.954437066848587,0.9690901536810924,4500,0.99,0,1658531121239343012,26.42055221198825,ok,
voter_zealots,100,0,0,0,0,0.0,35,40,1.05,0.95,115,4275,0.95,0.9409487546112001,0.9577262197148935,25,0.005555555555555556,0.003340096135707718,0.009226907382535171,4300,0.9555555555555556,0.9469491818029769,0.9628205452925747,4500,0.99,0,1658531121239343012,26.42055221198825,ok,
voter_zealots,100,0,0,0,0,0.0,35,60,1.05,0.95,115,4263,0.9473333333333334,0.9380788998475292,0.9552705931492246,20,0.0044444444444444444,0.0025194935449578543,0.007828559419393446,4283,0.9517777777777777,0.9428655842212319,0.9593597109910881,4500,0.99,0,1658531121239343012,26.42055221198825,ok,
voter_zealots,100,0,0,0,0,0.0,35,80,1.05,0.95,115,4261,0.9468888888888889,0.9376011917380288,0.9548607210371683,19,0.004222222222222222,0.0023593161181451297,0.007544946735427851,4280,0.9511111111111111,0.9421464241633306,0.9587475007166546,4500,0.99,0,1658531121239343012,26.42055221198825,ok,
voter_zealots,100,3,3,0,6,0.06,35,0,1.05,0.95,115,4496,0.9991111111111111,0.9970170815195558,0.9997355072885459,3164,0.7031111111111111,0.6852788067648938,0.7203453544864886,4500,1.0,0.9985277492512151,1.0,4500,0.99,0,13373390650338008497,86.51857183600077,ok,
voter_zealots,100,3,3,0,6,0.06,35,5,1.05,0.95,115,4431,0.9846666666666667,0.9791847278365333,0.9887215037709778,429,0.09533333333333334,0.08464508689533842,0.10721312137734487,4485,0.9966666666666667,0.9936061090319881,0.9982647885575522,4500,0.99,0,13373390650338008497,86.51857183600077,ok,
